Segment,Label,Nashe markers,Chettle-Greene markers,
Anatomy of Absurdity (1),Nashe training,4.871447903,3.653585927,
Anatomy of Absurdity (2),Nashe training,5.160390516,2.649930265,
Anatomy of Absurdity (3),Nashe training,5.436337625,4.291845494,
Anatomy of Absurdity (4),Nashe training,4.107648725,5.240793201,
Anatomy of Absurdity (5),Nashe training,4.715672677,3.328710125,
Anatomy of Absurdity (6),Nashe training,4,3.741935484,
Anatomy of Absurdity (7),Nashe training,4.691689008,5.63002681,
Anatomy of Absurdity (8),Nashe training,5.0067659,3.924221922,
Anatomy of Absurdity (9),Nashe training,6.169296987,4.160688666,
Anatomy of Absurdity (10),Nashe training,6.02739726,4.657534247,
Anatomy of Absurdity (11),Nashe training,5.056179775,2.528089888,
Anatomy of Absurdity (12),Nashe training,4.319371728,2.22513089,
Christ's Tears (1),Nashe training,5.224963716,4.934687954,
Christ's Tears (3),Nashe training,5.242463958,2.883355177,
Christ's Tears (4),Nashe training,6.52173913,2.581521739,
Christ's Tears (5),Nashe training,6.666666667,2.352941176,
Christ's Tears (6),Nashe training,7.112375533,4.125177809,
Christ's Tears (7),Nashe training,6.324110672,2.766798419,
Christ's Tears (9),Nashe training,7.402422611,3.903095559,
Christ's Tears (10),Nashe training,7.334273625,2.256699577,
Christ's Tears (12),Nashe training,6.842105263,1.842105263,
Christ's Tears (13),Nashe training,5.737704918,2.459016393,
Christ's Tears (14),Nashe training,7.591623037,1.832460733,
Christ's Tears (15),Nashe training,5.179282869,5.046480744,
Christ's Tears (16),Nashe training,6.008010681,4.405874499,
Christ's Tears (17),Nashe training,5.437665782,5.835543767,
Christ's Tears (20),Nashe training,5.256410256,3.461538462,
Christ's Tears (21),Nashe training,5.222929936,4.968152866,
Christ's Tears (22),Nashe training,6.274007682,3.71318822,
Christ's Tears (23),Nashe training,7.1334214,3.302509908,
Christ's Tears (24),Nashe training,5.714285714,3.896103896,
Christ's Tears (25),Nashe training,6.010928962,2.18579235,
Christ's Tears (26),Nashe training,6.056527591,3.230148048,
Christ's Tears (27),Nashe training,7.723577236,3.658536585,
Christ's Tears (28),Nashe training,6.353240152,1.905972046,
Christ's Tears (29),Nashe training,5.947441217,4.702627939,
Christ's Tears (30),Nashe training,7.513661202,1.229508197,
Christ's Tears (31),Nashe training,6.371911573,3.771131339,
Christ's Tears (32),Nashe training,6.845637584,3.355704698,
Christ's Tears (33),Nashe training,6.105834464,3.663500678,
Christ's Tears (34),Nashe training,5.970149254,2.23880597,
Christ's Tears (35),Nashe training,6.766917293,2.130325815,
Christ's Tears (37),Nashe training,6.012269939,3.190184049,
Christ's Tears (38),Nashe training,6.14973262,2.807486631,
Christ's Tears (39),Nashe training,6.929347826,3.532608696,
Christ's Tears (40),Nashe training,6.25,1.902173913,
Christ's Tears (41),Nashe training,5.585831063,1.498637602,
Christ's Tears (42),Nashe training,7.6,2.533333333,
